,timestamp,open,close,high,low,volume,amount
2018-08-07,1533600000,404.572885,378.818967,410.879999,370.0,1161.1676124,453958.06899823
2018-08-08,1533686400,377.456043,355.18,381.640027,348.348001,1848.8184712,676171.69841907
2018-08-09,1533772800,355.18,363.10475,369.999999,350.585235,878.7168062,316998.51115309994
2018-08-10,1533859200,363.00753,332.909999,365.92145,326.213091,2664.3530475000007,928658.9596934799
2018-08-11,1533945600,331.856644,317.929929,332.536349,304.624769,2112.7534137000002,668594.10982457
2018-08-12,1534032000,317.929929,317.648436,327.388618,313.35703,1239.8732792,397861.57538603
2018-08-13,1534118400,317.648438,282.725862,321.283052,280.701347,2424.8693644,733432.24412301
2018-08-14,1534204800,282.725872,278.029999,283.509689,250.5,3179.0992994,841445.9675783
2018-08-15,1534291200,278.991866,280.787418,303.772228,277.110301,2276.4036939,662414.7344608
2018-08-16,1534377600,280.853572,286.862571,298.255906,277.95006,891.5977114000001,257059.08578631998
2018-08-17,1534464000,286.712987,316.850333,317.049637,285.400193,2686.1841511000002,810513.53601253
2018-08-18,1534550400,317.126013,293.521943,320.65928,282.057445,1751.4205295000002,523755.38221263996
2018-08-19,1534636800,293.870469,299.614977,306.721996,288.549312,993.4093777,296105.24137703
